what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333550202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333551519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322333560633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333562931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333565301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322333567879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333576742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333579534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322333589081
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322333590971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333606846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333612144
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322333613527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322333621472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322333638415
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1322333647095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322333650853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333654491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333667457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333677647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333679695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322333703692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333705917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333706718
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322333712228
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322333722152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333731311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333733254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333738262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333741522
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1322333741556
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322333742767
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1322333746372
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322333756368
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1322333762994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333763800
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322333768138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333852917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322333856763
