what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345216348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345239072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345244953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322345259065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322345269756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322345276272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345276959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345280044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345292380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345294337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322345307027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322345328210
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1322345333399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322345341178
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322345347417
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322345347657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322345350906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322345354509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345359741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345365495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345373146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345374640
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1322345376969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345386314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345390235
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345393427
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345393801
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345394161
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345394433
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345394833
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345395145
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345395481
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345395942
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1322345396830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345401062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345402962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345409211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345414715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345428360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345429625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345438828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345441767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345448412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345454193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345462709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345463806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345478756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345480619
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322345484959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345487797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345492452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322345503016
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.select.next",1322345505935
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.select.previous",1322345508711
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322345510982
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322345511325
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1322345511613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322345523055
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322345528785
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1322345555346
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322345561216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345563358
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1322345596547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322345602566
